from,to ,weight,year
SFS,PPG,,
SFS,MaHa,,
SFS,HaRy,,
SFS,PaPr,,
SFS,DaBa,,
SFS,SuCr,,
SFS,RuBu,,
SFS,ABR,,
SFS,WSJ,,
SFS,MaMi,,
SFS,Maal,,
SFS,NaEl,,
SFS,RE,,
SFS,WaLo,,
SFS,KySo,,
SFS,HaDr,,
SFS,ToMe,,
SFS,CaLo,,
SFS,BrSt,,
SFS,DarBe,,
SFS,LoTu,,
SFS,DaBe,,
SFS,RoMo,,
SFS,SaRy,,
SFS,ErUm,,
SFS,ErEy,,
SFS,GeRy,,
SFS,MaWa,,
SFS,NiNe,,
SFS,FrOb,,
SFS,BaOb,,
SFS,KeHa,,
SFS,EBT,,
SFS,SLT,,
SFS,NYT,,
SFS,DaFa,,
SFS,ChCh,,
SFS,PeNo,,
SFS,HiAl,,
SFS,ArCu,,
SFS,JiMo,,
SFS,JaWa,,
SFS,PaC,,
SFS,ST,,
SFS,ErLi,,
SFS,ZaMi,,
SFS,RoKu,,
SFS,ReKi,,
SFS,FrSu,,
SFS,CaLe,,
SFS,DiMa,,
SFS,LiFa,,
SFS,MaMc,,
SFS,KaKi,,
SFS,AdZy,,
SFS,StLPD,,
SFS,JoKa,,
SFS,MeTw,,
SFS,RoFa,,
SFS,PrDe,,
SFS,WaPo,,
SFS,ArRe,,
SFS,UsTo,,
SFS,CiEn,,
SFS,ClBa,,
SFS,AnMa,,
SFS,MaMo,,
SFS,RaKaGh,,
SFS,JoAr,,
SFS,JeSa,,
SFS,AnDo,,
SFS,JaHa,,
SFS,MiSl,,
SFS,RyKe,,
SFS,AsPr,,
SFS,LAT,,
SFS,LLA,,
SFS,AnCo,,
SFS,MiBr,,
SFS,TCM,,
SFS,KeAr,,
SFS,MiLa,,
SFS,CaFi,,
SFS,LiGa,,
SFS,AJR,,
SFS,KaSc,,
SFS,FaSt,,
SFS,EmNu,,
SFS,JoHa,,
SFS,BrGl,,
SFS,JaOh,,
SFS,MaLi,,
SFS,SePo,,
SFS,TyHi,,
SFS,DaEt,,
SFS,JeRi,,
